Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1994,Men,Singapore,SGP,0.0286511334060169,0.0008503597814406988,0.00047270490610421353,3.4478473258380893e-05,0.051833591096404,-0.0019762491393518003
1995,Men,Singapore,SGP,0.0296027843931043,0.0009516509870873997,0.0005118469436164861,3.914203751227257e-05,0.050089367270451,-0.0017442238259530035
1996,Men,Singapore,SGP,0.0306904005370188,0.0010876161439145014,0.0005571070856647463,4.526014204826018e-05,0.0485606976231725,-0.001528669647278498
1997,Men,Singapore,SGP,0.0319466742828429,0.0012562737458241026,0.0006099599283139672,5.285284264922095e-05,0.0472396390805888,-0.0013210585425837001
1998,Men,Singapore,SGP,0.0334139887270959,0.0014673144442529998,0.0006724539665834628,6.24940382694956e-05,0.0461230703670099,-0.0011165687135789026
1999,Men,Singapore,SGP,0.0351162506480536,0.0017022619209576956,0.0007467999184151836,7.434595183172072e-05,0.0451995569447735,-0.0009235134222363994
2000,Men,Singapore,SGP,0.0370721951028697,0.0019559444548161026,0.0008341516465257674,8.735172811058381e-05,0.0444567355490266,-0.0007428213957468982
2001,Men,Singapore,SGP,0.0392845112331169,0.002212316130247201,0.0009370155313986848,0.00010286388487291747,0.0438654057317309,-0.000591329817295698
2002,Men,Singapore,SGP,0.0417674839851051,0.002482972751988201,0.0010572532735599,0.00012023774216121511,0.043397095415779,-0.0004683103159519031
2003,Men,Singapore,SGP,0.0445365876649404,0.002769103679835294,0.0011977576092463,0.00014050433568639996,0.0430397050499557,-0.0003573903658233013
2004,Men,Singapore,SGP,0.0476359255678742,0.0030993379029338047,0.0013614807565371,0.00016372314729080017,0.0427938446547113,-0.00024586039524440023
2005,Men,Singapore,SGP,0.0510995693020766,0.0034636437342023957,0.0015527774175037,0.0001912966609665999,0.0426480119153962,-0.00014583273931509377
2006,Men,Singapore,SGP,0.0549011538101517,0.0038015845080750996,0.0017749198490836,0.00022214243157990012,0.0425594610219392,-8.855089345700257e-05
2007,Men,Singapore,SGP,0.0590250277782775,0.004123873968125802,0.0020284512131197,0.00025353136403609986,0.0425065699829171,-5.289103902209741e-05
2008,Men,Singapore,SGP,0.0634651468387514,0.004440119060473903,0.002308006715756,0.0002795555026363001,0.0424725029599373,-3.4067022979804296e-05
2009,Men,Singapore,SGP,0.0681664191762661,0.004701272337514703,0.0026090695672287,0.0003010628514727,0.0424195453984709,-5.295756146640046e-05
2010,Men,Singapore,SGP,0.0730438904237181,0.004877471247451998,0.0029205398991868,0.0003114703319580998,0.0423410058180321,-7.853958043879672e-05
2011,Men,Singapore,SGP,0.0781536654843777,0.005109775060659599,0.0032473519950041,0.00032681209581729995,0.0422241432854585,-0.00011686253257359863
2012,Men,Singapore,SGP,0.0835938464693688,0.0054401809849910915,0.0035820852765807,0.00033473328157659996,0.0420517913142968,-0.0001723519711617008
2013,Men,Singapore,SGP,0.0894881909248401,0.005894344455471309,0.0039256065533718,0.00034352127679109987,0.041828389528464,-0.00022340178583279968
2014,Men,Singapore,SGP,0.0958271568789879,0.006338965954147804,0.0042787992740653,0.0003531927206935001,0.0415499547413029,-0.0002784347871611012
2015,Men,Singapore,SGP,0.1026785402259683,0.006851383346980391,0.0046576983201145,0.0003788990460492003,0.0412226701881895,-0.00032728455311339943
2016,Men,Singapore,SGP,0.1100003404967824,0.007321800270814097,0.0050680234402263,0.0004103251201118003,0.0408530232428716,-0.0003696469453179016
2017,Men,Singapore,SGP,0.1177149029165177,0.00771456241973531,0.0055199969571251,0.0004519735168987994,0.0404798093382478,-0.0003732139046237967
2018,Men,Singapore,SGP,0.1258234706261931,0.008108567709675385,0.0060146005605799,0.0004946036034548006,0.0401301323297027,-0.00034967700854510175
2019,Men,Singapore,SGP,0.1343369904224378,0.008513519796244706,0.0065547849975049,0.0005401844369249996,0.0398143424538332,-0.0003157898758694988
2020,Men,Singapore,SGP,0.1432990437664079,0.0089620533439701,0.0071508544595935,0.0005960694620886003,0.0395487233964254,-0.0002656190574078024
2021,Men,Singapore,SGP,0.1526803990705016,0.009381355304093703,0.0078089541505686,0.0006580996909750997,0.0393104829281665,-0.0002382404682588976
2022,Men,Singapore,SGP,0.1624525458857398,0.009772146815238192,0.008530055384921,0.0007211012343523995,0.0390975947451107,-0.00021288818305580104
2023,Men,Singapore,SGP,0.1726451872752619,0.010192641389522111,0.0093222492585109,0.0007921938735899001,0.0388853467811403,-0.00021224796397040224
2024,Men,Singapore,SGP,0.1832336814849159,0.010588494209653992,0.0101894735061507,0.0008672242476398008,0.0386728621041292,-0.00021248467701109885
1980,Women,Singapore,SGP,0.0745876653867711,,0.0012650784972664,,0.1138498620686012,
1981,Women,Singapore,SGP,0.0727594812936521,-0.0018281840931189952,0.0012471327639527,-1.7945733313700024e-05,0.1103105766794031,-0.0035392853891981074
1982,Women,Singapore,SGP,0.0710019211923112,-0.0017575601013408992,0.0012335439777048,-1.3588786247899828e-05,0.1068272597512283,-0.003483316928174801
1983,Women,Singapore,SGP,0.0692995320667645,-0.0017023891255467105,0.0012236806126836,-9.863365021200044e-06,0.103412298972825,-0.003414960778403295
1984,Women,Singapore,SGP,0.0676600345733868,-0.0016394974933776896,0.0012181002631973,-5.580349486299964e-06,0.1000454086130829,-0.0033668903597420946
1985,Women,Singapore,SGP,0.0660777495318039,-0.0015822850415829065,0.0012175691749343,-5.310882630000027e-07,0.0967031603064844,-0.0033422483065985026
1986,Women,Singapore,SGP,0.0645896761560175,-0.0014880733757863945,0.0012222874120639,4.718237129599937e-06,0.0934143812383773,-0.003288779068107109
1987,Women,Singapore,SGP,0.0632175096154258,-0.0013721665405917044,0.0012323419493207,1.0054537256800038e-05,0.0902173278250051,-0.003197053413372189
1988,Women,Singapore,SGP,0.0619736657530733,-0.0012438438623524964,0.0012469418972083,1.4599947887599914e-05,0.0871652185579989,-0.003052109267006206
1989,Women,Singapore,SGP,0.0608785663861263,-0.0010950993669470027,0.001266708686118,1.976678890969999e-05,0.0842952776702242,-0.0028699408877747024
1990,Women,Singapore,SGP,0.0599516412454039,-0.0009269251407224011,0.0012913619482295,2.4653262111499954e-05,0.081661485553955,-0.0026337921162691985
1991,Women,Singapore,SGP,0.0591938641393391,-0.000757777106064797,0.0013214782493389,3.011630110940017e-05,0.0792885249869455,-0.002372960567009502
1992,Women,Singapore,SGP,0.058601031096064,-0.0005928330432750997,0.0013567161947535,3.5237945414599934e-05,0.0772120407191756,-0.002076484267769893
1993,Women,Singapore,SGP,0.0581821603455383,-0.0004188707505256989,0.00139716661574,4.0450420986500035e-05,0.0754649926020172,-0.001747048117158409
1994,Women,Singapore,SGP,0.0578896510742518,-0.0002925092712865035,0.001442169587117,4.5002971377000036e-05,0.0740712223117779,-0.0013937702902392934
1995,Women,Singapore,SGP,0.0576952969411973,-0.00019435413305449872,0.001492454189233,5.0284602115999904e-05,0.0729766943836828,-0.0010945279280950987
1996,Women,Singapore,SGP,0.0576130063107558,-8.229063044150331e-05,0.0015506703597843,5.821617055130012e-05,0.0721704962565419,-0.000806198127140903
1997,Women,Singapore,SGP,0.0576893960772843,7.638976652850349e-05,0.0016181162322551,6.74458724708e-05,0.0716407116678943,-0.0005297845886475944
1998,Women,Singapore,SGP,0.0579520537021553,0.00026265762487100164,0.0016983787474863,8.026251523119993e-05,0.0713883567414156,-0.0002523549264787095
1999,Women,Singapore,SGP,0.058435009394401,0.00048295569224569845,0.0017940730767101,9.569432922380003e-05,0.0714383716386339,5.001489721830066e-05
2000,Women,Singapore,SGP,0.0591329476207665,0.0006979382263654979,0.0019073975914145,0.00011332451470439991,0.0717359462425861,0.0002975746039522026
2001,Women,Singapore,SGP,0.0600250861946999,0.0008921385739334015,0.0020391469371037,0.00013174934568920015,0.0722223846366654,0.00048643839407930267
2002,Women,Singapore,SGP,0.0611223529654465,0.001097266770746598,0.0021916835590086,0.00015253662190489996,0.0728561346874972,0.0006337500508317995
2003,Women,Singapore,SGP,0.0624503306225419,0.0013279776570954,0.0023670360346161,0.0001753524756074997,0.0736083504962027,0.0007522158087055059
2004,Women,Singapore,SGP,0.0640425460988603,0.0015922154763184024,0.0025670027366494,0.0001999667020333002,0.0744588816054339,0.0008505311092311951
2005,Women,Singapore,SGP,0.0659574269127086,0.001914880813848302,0.0027949600064693,0.00022795726981989992,0.0754203825640262,0.0009615009585922929
2006,Women,Singapore,SGP,0.0681726825119756,0.0022152555992669964,0.0030521738205488,0.00025721381407950005,0.0764142978179283,0.0009939152539021057
2007,Women,Singapore,SGP,0.0706610010303397,0.002488318518364105,0.0033393030883333,0.0002871292677845,0.0773840551118862,0.0009697572939579013
2008,Women,Singapore,SGP,0.0734338753472796,0.0027728743169398995,0.0036550412112018,0.00031573812286849997,0.0782977531126444,0.0009136980007582035
2009,Women,Singapore,SGP,0.0764799771151016,0.003046101767821996,0.0039982146893115,0.00034317347810970027,0.0791252667919554,0.0008275136793109983
2010,Women,Singapore,SGP,0.079780443508966,0.0033004663938644013,0.0043660610819506,0.00036784639263909985,0.079867893436415,0.000742626644459593
2011,Women,Singapore,SGP,0.0833438821813432,0.0035634386723771977,0.0047580518383844,0.0003919907564338002,0.0805348728557647,0.0006669794193497058
2012,Women,Singapore,SGP,0.0871805035201411,0.003836621338797905,0.0051696420101762,0.0004115901717917994,0.0810905038431447,0.0005556309873799986
2013,Women,Singapore,SGP,0.0913119088325412,0.0041314053124000966,0.005604549780653,0.0004349077704768004,0.0815381755965315,0.0004476717533867941
2014,Women,Singapore,SGP,0.0957485733879728,0.0044366645554315964,0.0060694817384654,0.00046493195781239973,0.0818888025769692,0.0003506269804377099
2015,Women,Singapore,SGP,0.1005441975058776,0.004795624117904809,0.0065786776908652,0.0005091959523998001,0.0821718979242164,0.0002830953472472003
2016,Women,Singapore,SGP,0.1056912705788697,0.0051470730729921005,0.0071376619179559,0.0005589842270906998,0.0824261273868499,0.00025422946263349566
2017,Women,Singapore,SGP,0.1111613044026284,0.005470033823758699,0.0077520265728499,0.0006143646548940002,0.0826357351389692,0.00020960775211929794
2018,Women,Singapore,SGP,0.1169392358851048,0.005777931482476392,0.0084196178787875,0.0006675913059376003,0.0828163798341839,0.00018064469521469895
2019,Women,Singapore,SGP,0.1229863158832267,0.0060470799981219014,0.0091439807195396,0.0007243628407520991,0.0830084212432016,0.00019204140901769862
2020,Women,Singapore,SGP,0.1292869758514726,0.006300659968245914,0.0099284602449117,0.0007844795253721011,0.0832224046017263,0.00021398335852469696
2021,Women,Singapore,SGP,0.1358147146667537,0.006527738815281098,0.0107796443771497,0.0008511841322379997,0.0834597881223442,0.0002373835206179037
2022,Women,Singapore,SGP,0.1425788545973594,0.006764139930605678,0.0116998316683087,0.0009201872911590008,0.0837093030151173,0.0002495148927730978
2023,Women,Singapore,SGP,0.1496046529337877,0.007025798336428302,0.0126972274247038,0.0009973957563950992,0.0839547447903128,0.00024544177519550403
2024,Women,Singapore,SGP,0.1568979772877624,0.007293324353974701,0.0137742547746166,0.0010770273499127996,0.0841794432734895,0.00022469848317670238
