Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
2023,Men,Australia,AUS,0.318352740470824,0.004446858241110241,0.0300922888103309,0.0010205199747170997,0.0113160616058776,0.00034891622608460016
2024,Men,Australia,AUS,0.3228577699219688,0.004505029451144782,0.0311773797577365,0.0010850909474055988,0.0116860415485846,0.00036997994270700045
1980,Women,Australia,AUS,0.0763671791060449,,0.0048276423780672,,0.0537635205615611,
1981,Women,Australia,AUS,0.0812261859417084,0.004859006835663496,0.0053604292688268,0.0005327868907596001,0.0512470563349571,-0.0025164642266039955
1982,Women,Australia,AUS,0.0863359832398221,0.0051097972981137,0.0059485919742334,0.0005881627054066,0.0488127076665918,-0.0024343486683653034
1983,Women,Australia,AUS,0.0916853451262519,0.0053493618864298015,0.006591531610575,0.0006429396363415996,0.0464741701860421,-0.002338537480549699
1984,Women,Australia,AUS,0.0972426427275133,0.0055572976012614045,0.0072881296038347,0.0006965979932597004,0.0442316492549885,-0.0022425209310536
1985,Women,Australia,AUS,0.1029709717390399,0.0057283290115265895,0.0080376483342591,0.0007495187304243991,0.0420805934663619,-0.0021510557886266005
1986,Women,Australia,AUS,0.1088856526890177,0.00591468094997781,0.0088418238738244,0.0008041755395653011,0.0400263419067586,-0.002054251559603301
1987,Women,Australia,AUS,0.1149647781087064,0.006079125419688691,0.009695939592694,0.0008541157188696,0.0380576425686469,-0.0019686993381116957
1988,Women,Australia,AUS,0.1212106903323389,0.006245912223632508,0.0106047587891704,0.0009088191964763993,0.0361845119887844,-0.0018731305798625059
1989,Women,Australia,AUS,0.1276348714559198,0.00642418112358091,0.0115702536788367,0.0009654948896662997,0.0344003615069994,-0.001784150481784999
1990,Women,Australia,AUS,0.134226783054412,0.006591911598492178,0.0125924955718465,0.0010222418930098,0.0327112285994368,-0.0016891329075625974
1991,Women,Australia,AUS,0.1409754223384272,0.006748639284015201,0.0136720876869884,0.0010795921151419002,0.0311216366509236,-0.0015895919485131998
1992,Women,Australia,AUS,0.1478270722204584,0.006851649882031213,0.0148049431950987,0.0011328555081103007,0.0296331875634214,-0.0014884490875021993
1993,Women,Australia,AUS,0.1547476884803478,0.006920616259889406,0.0159858313088015,0.0011808881137028004,0.0282619771116844,-0.0013712104517370031
1994,Women,Australia,AUS,0.1617170269585876,0.0069693384782398005,0.0172162848035525,0.001230453494751,0.0270192768989362,-0.001242700212748197
1995,Women,Australia,AUS,0.1687029964352585,0.006985969476670878,0.0184945341180934,0.001278249314540899,0.0258980140992449,-0.0011212627996913006
1996,Women,Australia,AUS,0.1756784252898898,0.006975428854631316,0.0198249983983576,0.0013304642802642007,0.024902069638629,-0.0009959444606159017
1997,Women,Australia,AUS,0.1826188768170808,0.0069404515271909994,0.0211967235279652,0.0013717251296075997,0.0240238019021668,-0.0008782677364621988
1998,Women,Australia,AUS,0.1894370759147207,0.006818199097639893,0.0225902539924768,0.0013935304645115998,0.02325817949563,-0.0007656224065368013
1999,Women,Australia,AUS,0.1960965715937334,0.006659495679012695,0.0240071558546032,0.0014169018621263997,0.0226040876724551,-0.0006540918231748988
2000,Women,Australia,AUS,0.2025645051610931,0.006467933567359696,0.0254392512302571,0.0014320953756539016,0.0220489527934783,-0.0005551348789767999
2001,Women,Australia,AUS,0.2087910490306377,0.006226543869544604,0.0268693431990265,0.0014300919687693994,0.0215774977584211,-0.0004714550350571993
2002,Women,Australia,AUS,0.214743316952315,0.005952267921677301,0.0282792907803581,0.0014099475813315991,0.0211707366482281,-0.00040676111019300257
2003,Women,Australia,AUS,0.2204070981727018,0.005663781220386799,0.0296546154524386,0.0013753246720804996,0.0208159289667096,-0.0003548076815185
2004,Women,Australia,AUS,0.2257849279638839,0.0053778297911821205,0.0309949434996932,0.0013403280472546013,0.0205136976249107,-0.00030223134179889824
2005,Women,Australia,AUS,0.2309000219493055,0.005115093985421593,0.0322920307181909,0.0012970872184977014,0.0202617044121236,-0.0002519932127870994
2006,Women,Australia,AUS,0.2357597007990324,0.004859678849726906,0.0335429488955952,0.0012509181774042963,0.0200570464682201,-0.00020465794390350095
2007,Women,Australia,AUS,0.2404258234380424,0.004666122639009979,0.0347626970328704,0.0012197481372752048,0.0198919448219897,-0.00016510164623039988
2008,Women,Australia,AUS,0.2449243066617926,0.00449848322375021,0.0359571638767464,0.001194466843875995,0.0197625101804952,-0.00012943464149450107
2009,Women,Australia,AUS,0.2492020998832437,0.004277793221451109,0.0371066763528354,0.001149512476089,0.0196713262951979,-9.11838852972989e-05
2010,Women,Australia,AUS,0.2532569736685367,0.004054873785293012,0.0381967452162907,0.0010900688634553,0.0196146818101814,-5.664448501650071e-05
2011,Women,Australia,AUS,0.2571096601796778,0.003852686511141068,0.0392226159669459,0.0010258707506552028,0.0195883173621426,-2.6364448038797977e-05
2012,Women,Australia,AUS,0.2608598851733772,0.0037502249936994247,0.0402007858032426,0.0009781698362966995,0.0195879132478975,-4.041142451019497e-07
2013,Women,Australia,AUS,0.2646123977619428,0.003752512588565571,0.0411551548970692,0.0009543690938266028,0.0196072407342104,1.932748631289921e-05
2014,Women,Australia,AUS,0.2683827852079339,0.003770387445991119,0.0421026896561465,0.000947534759077294,0.019639981137133,3.2740402922601386e-05
2015,Women,Australia,AUS,0.2721704925790906,0.00378770737115669,0.0430543575847938,0.0009516679286473012,0.0196866276040489,4.664646691589919e-05
2016,Women,Australia,AUS,0.2759711157885646,0.0038006232094739967,0.0440219354466866,0.0009675778618928044,0.0197439192733022,5.729166925329959e-05
2017,Women,Australia,AUS,0.2797299449252962,0.0037588291367315896,0.0450196903427414,0.0009977548960547963,0.0198162306660907,7.231139278850163e-05
2018,Women,Australia,AUS,0.2834008695207298,0.003670924595433611,0.0460511421646381,0.0010314518218966992,0.0199047463846084,8.851571851770101e-05
2019,Women,Australia,AUS,0.2869676672786813,0.00356679775795149,0.0471161488486599,0.0010650066840218048,0.0200128444239135,0.00010809803930509829
2020,Women,Australia,AUS,0.2904862210770864,0.0035185537984050996,0.0482243427772121,0.0011081939285521938,0.0201375617483812,0.00012471732446769912
2021,Women,Australia,AUS,0.2939867027467943,0.0035004816697079,0.0493712936616807,0.0011469508844686033,0.02027713627461,0.00013957452622880007
2022,Women,Australia,AUS,0.2974987414445672,0.0035120386977729456,0.0505612887860335,0.0011899951243527981,0.0204360594110382,0.00015892313642820038
2023,Women,Australia,AUS,0.3010534296705088,0.0035546882259415713,0.0518009623004814,0.0012396735144479046,0.0206098955335945,0.00017383612255630204
2024,Women,Australia,AUS,0.3046608943641565,0.0036074646936476995,0.0530894164511393,0.0012884541506578973,0.0207975520340995,0.00018765650050499988
