Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
2009,Men,India,IND,0.0240498560103023,0.0016726019224036978,0.0010797724316748,8.309374818594854e-05,0.2444621285824899,-0.009992002698676727
2010,Men,India,IND,0.0257543615872963,0.0017045055769939997,0.0011658700376566,8.609760598179994e-05,0.2343314983007055,-0.010130630281784403
2011,Men,India,IND,0.0274959513896751,0.0017415898023788005,0.0012543347683688,8.846473071220007e-05,0.2241337951005718,-0.01019770320013369
2012,Men,India,IND,0.029307461133977,0.0018115097443019007,0.0013457907188146,9.145595044580002e-05,0.2138581881018319,-0.010275606998739889
2013,Men,India,IND,0.0312261001956912,0.0019186390617141995,0.0014410529491513,9.526223033670005e-05,0.2035934433110874,-0.010264744790744518
2014,Men,India,IND,0.0332491136222136,0.002023013426522398,0.001538806394935,9.77534457837e-05,0.19358686381713,-0.01000657949395739
2015,Men,India,IND,0.0354251906493225,0.002176077027108904,0.00164152193061,0.00010271553567499998,0.1838517625658595,-0.0097351012512705
2016,Men,India,IND,0.0377479980086566,0.0023228073593341003,0.0017511208914464,0.00010959896083640006,0.1743995873217733,-0.009452175244086203
2017,Men,India,IND,0.0401782324704584,0.0024302344618018015,0.0018699414943825,0.00011882060293609987,0.1652855521764301,-0.009114035145343202
2018,Men,India,IND,0.0426598745752207,0.0024816421047622952,0.0019989398119419,0.00012899831755939996,0.156462021022049,-0.008823531154381087
2019,Men,India,IND,0.0451997484573746,0.0025398738821539035,0.0021424035197128,0.00014346370777089997,0.1479320549676637,-0.008529966054385302
2020,Men,India,IND,0.0478068827562811,0.0026071342989065008,0.0023005976368765,0.00015819411716370014,0.1397271524629709,-0.008204902504692801
2021,Men,India,IND,0.0505078386422185,0.0027009558859373978,0.0024746848007774,0.00017408716390090008,0.1318469413017979,-0.007880211161173017
2022,Men,India,IND,0.0532985974787272,0.0027907588365087,0.0026639946494129,0.0001893098486354999,0.124300701198595,-0.007546240103202886
2023,Men,India,IND,0.0561907838805251,0.0028921864017978985,0.0028691156264178,0.0002051209770049002,0.1170430018178385,-0.007257699380756502
2024,Men,India,IND,0.0591844208008609,0.0029936369203358015,0.0030919066057123,0.0002227909792944997,0.1100949581192652,-0.006948043698573297
1980,Women,India,IND,0.0046146257454641,,0.00010109091288734984,,0.5073362024809019,
1981,Women,India,IND,0.0050531131741531,0.00043848742868899965,0.0001132621944491943,1.2171281561844453e-05,0.4995635321354814,-0.0077726703454205626
1982,Women,India,IND,0.0055318468093482,0.0004787336351951008,0.0001270986345746243,1.3836440125429992e-05,0.4916006614761704,-0.007962870659311005
1983,Women,India,IND,0.0060531429547276,0.0005212961453793996,0.00014283118502608175,1.5732550451457464e-05,0.4835192302421213,-0.008081431234049086
1984,Women,India,IND,0.0066192614802144,0.0005661185254867999,0.0001606650048923375,1.7833819866255754e-05,0.4753811047812967,-0.008138125460824597
1985,Women,India,IND,0.0072338277929012,0.0006145663126868005,0.00018084233039160545,2.017732549926794e-05,0.4672261188771437,-0.008154985904152978
1986,Women,India,IND,0.007899525416707,0.0006656976238057994,0.0002036151019592676,2.2772771567662142e-05,0.459089089685104,-0.008137029192039735
1987,Women,India,IND,0.0086194328883589,0.0007199074716519004,0.00022938774560383787,2.5772643644570283e-05,0.4510086482473719,-0.008080441437732067
1988,Women,India,IND,0.0093972968147604,0.0007778639264014991,0.0002583962641018829,2.9008518498045054e-05,0.4430026017151142,-0.008006046532257727
1989,Women,India,IND,0.0102380643552329,0.000840767540472501,0.0002910717756478556,3.267551154597265e-05,0.4350923651405651,-0.00791023657454909
1990,Women,India,IND,0.0111432164650881,0.0009051521098551989,0.00032778857668773253,3.671680103987696e-05,0.4273070975888969,-0.007785267551668196
1991,Women,India,IND,0.0121225293228621,0.0009793128577740007,0.00036900490229868713,4.12163256109546e-05,0.4196041064484302,-0.007702991140466686
1992,Women,India,IND,0.0131784435284943,0.0010559142056322003,0.0004151026112029813,4.609770890429414e-05,0.4119969273451169,-0.007607179103313322
1993,Women,India,IND,0.0143141313359762,0.0011356878074819006,0.000466346941131721,5.1244329928739696e-05,0.4044989254839155,-0.00749800186120142
1994,Women,India,IND,0.0155344124255396,0.0012202810895633985,0.0005232560024783006,5.6909061346579624e-05,0.3971098069917688,-0.007389118492146685
1995,Women,India,IND,0.0168543263665818,0.0013199139410421997,0.0005864269522673673,6.317094978906671e-05,0.3896955743278259,-0.007414232663942866
1996,Women,India,IND,0.0182855028717754,0.0014311765051936015,0.0006566653046742068,7.023835240683952e-05,0.3821662599352408,-0.00752931439258514
1997,Women,India,IND,0.0198428496138503,0.0015573467420748992,0.0007348210697296375,7.815576505543068e-05,0.3743582014934287,-0.0078080584418120935
