Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1981,Women,United States of America,USA,0.1457772123728868,0.006638440579725902,0.0181253461448088,0.0010909907991333012,0.0493401917207232,-0.002321480421763597
1982,Women,United States of America,USA,0.1526584007803613,0.006881188407474509,0.0192785771446232,0.0011532309998143996,0.0470905790217332,-0.002249612698990003
1983,Women,United States of America,USA,0.1597541142262827,0.007095713445921387,0.0204917216251868,0.0012131444805635987,0.0449265220658963,-0.0021640569558369002
1984,Women,United States of America,USA,0.1670266830438303,0.00727256881754762,0.0217607413119362,0.0012690196867494,0.0428460889816894,-0.002080433084206898
1985,Women,United States of America,USA,0.1744033365950417,0.007376653551211393,0.0230787153323804,0.0013179740204442014,0.0408399883282032,-0.0020061006534861994
1986,Women,United States of America,USA,0.181882833844174,0.0074794972491323,0.0244441688470268,0.001365453514646401,0.0389136355311773,-0.0019263527970259028
1987,Women,United States of America,USA,0.1894457102055778,0.007562876361403792,0.0258513872786116,0.0014072184315847974,0.0370643562597497,-0.001849279271427598
1988,Women,United States of America,USA,0.1971046801293281,0.007658969923750314,0.0273120839022491,0.0014606966236375002,0.0353068570899127,-0.0017574991698370013
1989,Women,United States of America,USA,0.2048690260542661,0.007764345924937993,0.0288389127499192,0.0015268288476701017,0.0336469306231353,-0.0016599264667774005
1990,Women,United States of America,USA,0.2127468539136895,0.007877827859423397,0.0304615109686484,0.0016225982187291974,0.0320901446679248,-0.001556785955210499
1991,Women,United States of America,USA,0.2207502340842742,0.00800338017058469,0.0321935171299544,0.001732006161306001,0.0306480869232249,-0.001442057744699899
1992,Women,United States of America,USA,0.2288400220168256,0.008089787932551412,0.0340498001417657,0.0018562830118113022,0.0293233112825325,-0.0013247756406924022
1993,Women,United States of America,USA,0.2370370428754835,0.008197020858657894,0.0360455144845898,0.001995714342824098,0.0281393648196083,-0.0011839464629241972
1994,Women,United States of America,USA,0.245344802816036,0.008307759940552495,0.0381986858462148,0.002153171361625003,0.027107523936165,-0.0010318408834433003
1995,Women,United States of America,USA,0.2537791690537489,0.008434366237712931,0.0405239293702406,0.0023252435240257996,0.026227422509802,-0.0008801014263630016
1996,Women,United States of America,USA,0.2623679726582422,0.008588803604493267,0.0430388169125149,0.0025148875422742953,0.0254937945952115,-0.0007336279145905011
1997,Women,United States of America,USA,0.2711181982070206,0.008750225548778412,0.0457333645792777,0.0026945476667628032,0.0248922803025862,-0.0006015142926252999
