Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1996,Men,Japan,JPN,0.0210467509131143,0.0010358784047426982,0.0002763692444494195,2.05192289528559e-05,0.0564195453631078,-0.0007374597042702977
1997,Men,Japan,JPN,0.0221676900927017,0.0011209391795874019,0.0003000089504959866,2.3639706046567073e-05,0.0557319191070599,-0.0006876262560479018
1998,Men,Japan,JPN,0.0233924542901778,0.0012247641974760977,0.00032756619969523724,2.755724919925064e-05,0.0551168571871242,-0.0006150619199356971
1999,Men,Japan,JPN,0.0247327958560587,0.001340341565880903,0.000359664278557208,3.209807886197076e-05,0.0545472287110903,-0.0005696284760339024
2000,Men,Japan,JPN,0.0261827886741138,0.0014499928180551,0.000396890394113885,3.722611555667698e-05,0.0540469423930378,-0.0005002863180525036
2001,Men,Japan,JPN,0.0277301353547274,0.0015473466806135983,0.0004395732157489311,4.268282163504613e-05,0.0535928589685736,-0.0004540834244641939
2002,Men,Japan,JPN,0.0293588076597751,0.0016286723050477,0.0004881503743265854,4.857715857765427e-05,0.0531670295947152,-0.00042582937385840514
2003,Men,Japan,JPN,0.0310590969914804,0.0017002893317052993,0.0005433522499155522,5.520187558896684e-05,0.0527662559021529,-0.0004007736925622993
2004,Men,Japan,JPN,0.0328451362489931,0.0017860392575127018,0.0006053195617771506,6.19673118615984e-05,0.0524040318938384,-0.0003622240083144962
2005,Men,Japan,JPN,0.0347262391540493,0.0018811029050561992,0.0006754968434160402,7.017728163888955e-05,0.0520907892648035,-0.0003132426290349058
2006,Men,Japan,JPN,0.0366763948986788,0.001950155744629499,0.0007551409291354345,7.964408571939428e-05,0.0517927523797686,-0.0002980368850348941
2007,Men,Japan,JPN,0.0386765647642432,0.002000169865564401,0.0008447676955330646,8.962676639763013e-05,0.0515136653221656,-0.000279087057603003
2008,Men,Japan,JPN,0.0407219763546693,0.002045411590426101,0.0009438274870068916,9.905979147382699e-05,0.0512537355153391,-0.00025992980682650046
2009,Men,Japan,JPN,0.0427606365610903,0.002038660206420996,0.0010517519535669,0.00010792446656000842,0.050991869731901,-0.00026186578343809913
2010,Men,Japan,JPN,0.0447241106915602,0.0019634741304699055,0.0011670547200271,0.00011530276646020006,0.0507268733047996,-0.00026499642710139937
2011,Men,Japan,JPN,0.0466491794411108,0.0019250687495505972,0.0012923976959199,0.00012534297589280002,0.0504471495608556,-0.00027972374394399924
2012,Men,Japan,JPN,0.0485999603525862,0.0019507809114754013,0.0014275195160518,0.00013512182013189987,0.0501495595853663,-0.00029758997548930133
2013,Men,Japan,JPN,0.050651230000587,0.0020512696480008002,0.0015738623963451,0.0001463428802933001,0.0498526035172331,-0.00029695606813320147
2014,Men,Japan,JPN,0.0528090883791403,0.0021578583785532984,0.0017354152482156,0.00016155285187049984,0.0495539834307924,-0.00029862008644070126
2015,Men,Japan,JPN,0.0551154368957748,0.002306348516634499,0.00191893532344,0.0001835200752244,0.0492541226841189,-0.0002998607466734998
2016,Men,Japan,JPN,0.057572155441149,0.0024567185453742008,0.0021269988673429,0.00020806354390290002,0.0489496155696285,-0.0003045071144903988
2017,Men,Japan,JPN,0.0601273809656177,0.002555225524468699,0.0023637887185355,0.00023678985119260018,0.0486895715823636,-0.0002600439872648963
2018,Men,Japan,JPN,0.0627999077014973,0.0026725267358796087,0.0026283014623798,0.0002645127438442997,0.0484993140443252,-0.00019025753803840473
2019,Men,Japan,JPN,0.0656055608132438,0.0028056531117464922,0.0029236966534203,0.0002953951910405002,0.0483803691413499,-0.00011894490297529453
2020,Men,Japan,JPN,0.0685640465144215,0.002958485701177696,0.0032567035190301,0.0003330068656097998,0.0483388018120921,-4.156732925780088e-05
2021,Men,Japan,JPN,0.0716725149523755,0.0031084684379540095,0.0036318744794302,0.00037517096040010035,0.0483542936224907,1.5491810398594874e-05
2022,Men,Japan,JPN,0.0749332926696877,0.003260777717312202,0.0040559320409521,0.0004240575615219,0.0484146189167028,6.032529421209909e-05
2023,Men,Japan,JPN,0.0783733735220296,0.0034400808523418897,0.0045332608936516,0.0004773288526994995,0.0485074286424366,9.280972573380564e-05
2024,Men,Japan,JPN,0.0820028730516627,0.0036294995296331095,0.0050722307244537,0.0005389698308021001,0.0486271168890064,0.00011968824656979904
1980,Women,Japan,JPN,0.0225792985846168,,0.00024843695017884375,,0.0946711886510305,
1981,Women,Japan,JPN,0.022456539617451,-0.00012275896716579943,0.0002496662315248236,1.2292813459798772e-06,0.0952236817497608,0.0005524930987303028
1982,Women,Japan,JPN,0.0223521846632558,-0.0001043549541951995,0.00025147355179754456,1.807320272720933e-06,0.0957884135753764,0.0005647318256156025
1983,Women,Japan,JPN,0.0222655567594773,-8.662790377850227e-05,0.00025383739419060684,2.363842393062279e-06,0.0963616303285987,0.0005732167532222915
1984,Women,Japan,JPN,0.0222089710444241,-5.6585715053198565e-05,0.00025697140331314784,3.1340091225410074e-06,0.0969074137573215,0.0005457834287228014
1985,Women,Japan,JPN,0.022183508637099,-2.5462407325101133e-05,0.00026102249057583887,4.05108726269103e-06,0.097394343050081,0.00048692929275950814
1986,Women,Japan,JPN,0.0221987577027141,1.5249065615102059e-05,0.0002661580118181036,5.135521242264707e-06,0.0978060998295049,0.00041175677942389965
