"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1992,"Women","Singapore","SGP",0.07721204071917569,0.06323230998921528,0.09215377685346386,0.058601031096064,0.04959921788627929,0.06829330551765805,0.11457350788054105,0.10100480812907736,0.12905213790288936,0.5080039358421011,0.4849255586382806,0.5303329817803499,0.2416094824621181,0.22242293348181405,0.2616315049290331,0.0491626814370166,0.04060735746908134,0.05870331091778022,0.008081633464293822,0.005552790970792483,0.011136522788278097,0.0013567161947535874,6.39337825667139e-4,0.0024460175794888497
1993,"Women","Singapore","SGP",0.07546499260201725,0.062358376646365385,0.08979830920764714,0.05818216034553836,0.04957339192791462,0.06747238682528311,0.11385009892482963,0.10050505552756839,0.1276806009902469,0.5124260165780898,0.49005298252048396,0.5342434964220103,0.24007672954952494,0.2214568158402833,0.25908674934936404,0.048737983856080594,0.0405952148471499,0.057861523526840465,0.008047009873717736,0.00561573261223206,0.010967242607488254,0.001397166615740037,6.866989941659614e-4,0.0024505780346641766
1994,"Women","Singapore","SGP",0.07407122231177797,0.061221654717808514,0.08784661212899353,0.05788965107425186,0.04954230491652223,0.06680322158830182,0.11334466791578121,0.10052415445337065,0.1268351908357163,0.5161842791974651,0.4945965840117749,0.5376035643908158,0.23851017750072384,0.2205413144686197,0.2570075328097565,0.04841406179882696,0.04050437663329833,0.05721567469632,0.00803341968830784,0.0056911298209123004,0.010820136368059287,0.001442169587117066,7.334661706714697e-4,0.0024736043495580977
1995,"Women","Singapore","SGP",0.07297669438368289,0.06078348634314399,0.08632075822492224,0.05769529694119732,0.04942156084503639,0.06637478659571024,0.1130597628571085,0.10043760242587493,0.1263439770888325,0.5193786331388452,0.49832717797101217,0.5406158348195929,0.236889610679166,0.21944326880745757,0.25494463287161334,0.04816324041281436,0.040392756311370626,0.05665644070444538,0.008039602339149928,0.00576264082177694,0.010757248406002048,0.0014924541892330332,7.848601187084438e-4,0.0025146131799561934
1996,"Women","Singapore","SGP",0.072170496256541955,0.06025123428923127,0.08519077198989855,0.057613006310755825,0.04943200061332675,0.06614431624341455,0.11296694518371808,0.10047926967070263,0.12620994568902208,0.5220027012908963,0.5013526233645875,0.5427464169966927,0.2352468489580878,0.21813538277011107,0.25278183812160565,0.04799352975787348,0.04030583037843576,0.05628053333621851,0.008068806193097954,0.005848401573891607,0.010732003392097131,0.0015506703597843912,8.38999730796284e-4,0.0025733183044507175
1997,"Women","Singapore","SGP",0.07164071166789435,0.0599020985955427,0.0845324037583012,0.05768939607728438,0.04941723563871274,0.06620966148297107,0.11304939432675849,0.10075256823706148,0.1261969101958347,0.523967477355504,0.5037260626490069,0.5445212103546037,0.23365301857255882,0.21677937565921218,0.2508500450849554,0.047945716544677906,0.040252145950392546,0.05619318621163807,0.008125563300351283,0.005934464542250682,0.010751520964347071,0.0016181162322551927,8.951645486392265e-4,0.0026636528950301514
1998,"Women","Singapore","SGP",0.07138835674141568,0.05967304180244112,0.0838708745605781,0.05795205370215531,0.049741394026607016,0.0663723135533821,0.11330375323610083,0.1013634120160039,0.12625887077133788,0.525232405690969,0.5051820278838421,0.5454048068512187,0.23212342862935917,0.21555647487022714,0.2489574393105215,0.04804101442791527,0.0403369250852045,0.05617257427632785,0.008212660526753684,0.0060503313439014906,0.010795480625470416,0.001698378747486352,9.559007507337782e-4,0.002742327633127286
1999,"Women","Singapore","SGP",0.07143837163863397,0.05991948186981641,0.08365043626197075,0.05843500939440104,0.050147784261823265,0.0669326124579873,0.11373426239097988,0.10180184115302902,0.1264982043685881,0.5256914858698684,0.5058527998937744,0.545490514235393,0.23070086870611675,0.21407075969177755,0.24734444241497633,0.04830287705032545,0.04054200922778197,0.05635817328200593,0.008338059267365458,0.006182164175732521,0.010886383778071905,0.0017940730767101358,0.0010247660678693114,0.0028791853551187515
2000,"Women","Singapore","SGP",0.07173594624258618,0.06042617106973324,0.08385593454695912,0.05913294762076657,0.05085727600898677,0.0675968008973078,0.11431967783561081,0.10237724200264109,0.12706946426419902,0.5253940964613353,0.5060589743990783,0.5450328144730329,0.22941732983970117,0.21296863027068944,0.24591739975212373,0.048720358084892314,0.04094058943459286,0.05685729404503959,0.008505191944459667,0.006349092206238732,0.011117221752725066,0.0019073975914145858,0.0011102268279084924,0.003017685870306282
2001,"Women","Singapore","SGP",0.07222238463666547,0.0611217174893147,0.08421699080611694,0.06002508619469991,0.051737090103255466,0.06856702257948397,0.1150088056739492,0.10315328543098244,0.12756055273260605,0.5244528510539216,0.5053210593834846,0.5439782971602265,0.22829087044076382,0.21194834188159736,0.24448615075302707,0.04926847702152187,0.041602983071392166,0.057517242430753554,0.008717462236074296,0.006542354743742343,0.011284066388694652,0.002039146937103732,0.001212331341663076,0.0031614154537799
2002,"Women","Singapore","SGP",0.07285613468749721,0.06180610082809693,0.08483590537099443,0.06112235296544659,0.05284189981040441,0.06957411995646574,0.1157629735814726,0.10414593139275836,0.12838579617523624,0.5229203439799168,0.5036762368618528,0.5421812492206786,0.2273381927856667,0.2113361195442756,0.24303291745513889,0.049954616897741416,0.0423964045323906,0.058200394140613766,0.008976052508696541,0.006765189856928637,0.011530912188769792,0.002191683559008633,0.0013245368940764668,0.00336358229702166
2003,"Women","Singapore","SGP",0.07360835049620275,0.06254004052137516,0.08571288553026739,0.0624503306225419,0.054235486763171484,0.07094514762014766,0.11656230280403593,0.10514714655891294,0.12900038847345927,0.5207980976386566,0.5020901518507462,0.5396562797772031,0.22658091643856276,0.21080754476220853,0.24203663608310855,0.050797655348825216,0.04316800521132565,0.05911652795905008,0.009285639239100486,0.007033967972077703,0.011868726239991977,0.002367036034616197,0.0014500216941182248,0.0035676672257753065
2004,"Women","Singapore","SGP",0.07445888160543393,0.06338323952729483,0.08624571545088157,0.06404254609886038,0.055917771894219565,0.07269173586636087,0.11735429888805524,0.10608492397991143,0.12984303653261497,0.5180715394753611,0.4997280820058937,0.5367860953523028,0.22607273193228936,0.2106829956378623,0.2414431003040141,0.05182542922024459,0.044085187829298,0.060082508246112984,0.009650114141966381,0.007377047306154872,0.012299391101460595,0.0025670027366494113,0.001596225441633559,0.003826541964746843
2005,"Women","Singapore","SGP",0.07542038256402626,0.06443768789642658,0.08717405342264889,0.06595742691270867,0.05780511766170358,0.0747361044332548,0.11810315641781263,0.10693720358760644,0.13020305906229543,0.5146832635030991,0.49666001100145335,0.5332574671562399,0.22583576860235324,0.21028499969148431,0.24125161574807502,0.05309036259270974,0.045293600415101436,0.06129647219045666,0.01007210431352957,0.007723500468208612,0.012716176287445737,0.002794960006469371,0.0017565959194647202,0.004139166879440807
2006,"Women","Singapore","SGP",0.07641429781792837,0.06544069319068929,0.08816949880195624,0.06817268251197567,0.05992475859483931,0.07692111996873431,0.11873771575408604,0.10744938941756134,0.1307274229040383,0.5107855279781421,0.49261652019920904,0.5291619575788509,0.22588977393786777,0.21076185614867785,0.24116669342887714,0.054568522780567605,0.046759400772375274,0.06274394339704925,0.010551985910859183,0.008168066492286593,0.013312489148704164,0.0030521738205488854,0.0019518668650662738,0.004477158252217208
2007,"Women","Singapore","SGP",0.07738405511188626,0.06650659415927558,0.08915915848371256,0.07066100103033977,0.0623250444897748,0.07941797474278359,0.11917958654631308,0.10792642444543392,0.13119356436869214,0.5065439237593701,0.4882978778015059,0.5247516539722343,0.22623143155209077,0.21109312291533996,0.24131887185352036,0.0562406284192949,0.04842677464820984,0.06431493317204551,0.01108106952271154,0.00864748483289286,0.01395892963072962,0.00333930308833334,0.002171423068812421,0.004846957564692839
2008,"Women","Singapore","SGP",0.0782977531126444,0.06734172088183918,0.0903025237824569,0.07343387534727963,0.06493920597727229,0.0822656635041911,0.11943557244302778,0.1081671144078804,0.1314277598760196,0.5019883046338999,0.4837013758945708,0.5197243952415233,0.22684449246314822,0.2117548390894945,0.24183200535520133,0.05811636345655194,0.05008779027135532,0.06628882572394125,0.011662470679525822,0.00911628171218224,0.014606421714903567,0.003655041211201873,0.0024050415322022342,0.005251505355825922
2009,"Women","Singapore","SGP",0.07912526679195543,0.06812722623902086,0.09128412801580842,0.0764799771151016,0.06793324542111745,0.08545065974253262,0.11948396569359372,0.10817916510336595,0.1317387675106337,0.4972138500412374,0.47914101019726224,0.5145116001366926,0.22769693835811183,0.21272539761678758,0.24278562912193563,0.06018696525244383,0.05206514187937728,0.06854406476853933,0.012294797173346236,0.009640420562460148,0.01530665209242129,0.003998214689311539,0.002657237915181997,0.005706291266260259
2010,"Women","Singapore","SGP",0.07986789343641508,0.06873831340597925,0.09191541970434246,0.07978044350896603,0.07112323513246493,0.08893923874219793,0.11932959343522763,0.10794282734863657,0.1313622907646077,0.4922662997072041,0.4740311956762751,0.5095725536592872,0.22875576791218716,0.2137658835390331,0.24363184961815182,0.06243484827012515,0.05440181803893904,0.0708873595005988,0.012979534156890267,0.010175201262988886,0.016219143575961617,0.004366061081950618,0.00292083441474495,0.00619832734443618
2011,"Women","Singapore","SGP",0.08053487285576473,0.06920725044468574,0.09294342931842152,0.08334388218134327,0.07452131160390113,0.09260808976903676,0.11894704282710614,0.10763888536341593,0.13104972117545163,0.48716049745310136,0.46923583818689774,0.5043337996410643,0.23001370268268453,0.21503987887663828,0.2449969677243747,0.06486441783466833,0.05680601816381703,0.07353150767982261,0.013721412508290459,0.010761171059548064,0.017113796949323135,0.004758051838384487,0.0031991652373990036,0.006747346494278506
2012,"Women","Singapore","SGP",0.08109050384314478,0.06975110782045567,0.09380145812471856,0.08718050352014116,0.07812466896647449,0.09664763600715948,0.11835788713314256,0.10699883575251981,0.13043878460645475,0.48188354033100805,0.463958341017735,0.49923964901736734,0.23148756317256347,0.21634854568036332,0.2467645780511153,0.0674842790386071,0.05935168563336464,0.07640018947681695,0.014526582471357762,0.011428983588604795,0.018159061833990953,0.005169642010176299,0.003482579297195871,0.007310305770075253
2013,"Women","Singapore","SGP",0.08153817559653152,0.06993758654539786,0.09427416468032941,0.0913119088325412,0.08199237244846856,0.10126542066179033,0.11759248145596969,0.10599336707241455,0.12974312810273206,0.4763786785104626,0.4581844261270875,0.49404024594481993,0.23317875360449491,0.2183679231364417,0.24850844247628723,0.07030482288854029,0.061958352304765645,0.07967396788494452,0.015402536163347878,0.012048855522529843,0.019305927610580427,0.005604549780653044,0.0037821872733326523,0.007954176412604578
2014,"Women","Singapore","SGP",0.0818888025769692,0.07001876626138756,0.09495420912145457,0.09574857338797285,0.08595203290728304,0.10622080411679626,0.11664862016920409,0.10480604500964931,0.1293707854801396,0.4706366787429515,0.45223457060723865,0.48824872844505923,0.23507732312290236,0.2201693001371555,0.2508890110120871,0.0733145917790463,0.06452620213206949,0.08307448573095161,0.016364499870461142,0.012720589838812513,0.02055593297077872,0.006069481738465405,0.00407801514603261,0.008654201017229345
2015,"Women","Singapore","SGP",0.08217189792421649,0.06980487095300791,0.09555050389620907,0.10054419750587762,0.09002112257242761,0.11182420391514787,0.11553960765089374,0.10322805381755655,0.12840008645505052,0.4646388353133293,0.4457400940807176,0.48288376421493223,0.23710545960568283,0.2216432006530667,0.25350124981275024,0.07654223957916151,0.06707297934225014,0.08687620925136429,0.017423280235850814,0.013474639391272731,0.021977551422554878,0.006578677690865295,0.004356786276145715,0.009404279837301556
2016,"Women","Singapore","SGP",0.08242612738684993,0.06959178606145182,0.09669753820182285,0.10569127057886975,0.09439106425888459,0.11781207765946872,0.11431748974421646,0.10138313767065464,0.1277319965525958,0.45839686983603506,0.43889615128036197,0.4774797048002799,0.2391682404540288,0.22272391702469985,0.2563883191975373,0.07997486016337277,0.06984227096752775,0.09127073098521214,0.01857874849754104,0.014203237143845061,0.02370014734337501,0.007137661917955938,0.004643508771248473,0.010348626424780096
2017,"Women","Singapore","SGP",0.08263573513896921,0.06904107957191433,0.09783221687323555,0.11116130440262846,0.09839367962446337,0.1247457512050208,0.11299023738375427,0.09918319196506861,0.1274108440431418,0.45198363957828036,0.43087041009839666,0.4723795608383098,0.2412290814963677,0.22341355044769964,0.25965658982907774,0.083580813728653,0.07236386361228458,0.09592516515900701,0.019828464101125518,0.01500145123726242,0.02559044051457406,0.007752026572849956,0.004952882263506207,0.01150033153111437
2018,"Women","Singapore","SGP",0.08281637983418393,0.06833936678232928,0.09903766066913972,0.11693923588510481,0.10264566303469039,0.132340427313055,0.11159200273373598,0.09688365121289792,0.12703607408195874,0.445378679835268,0.4224192836886629,0.4679829932632345,0.2432736997117073,0.22400306068784703,0.2631881552977784,0.0873421436337562,0.07475220766861049,0.10116747707920799,0.021177474372561043,0.01576846754972142,0.02763143537032967,0.008419617878787575,0.005224233734685573,0.012710026421351049
