"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1990,"Women","United Kingdom","GBR",0.02728320459696669,0.023242839476540066,0.031665213908653775,0.13900014840830366,0.12991039815626987,0.1482331205896903,0.06243614982094507,0.05680257447919066,0.06833831082516476,0.48921364045452764,0.4759151486982862,0.5025064867798048,0.282066854719257,0.26948996750659776,0.29445009749109713,0.09644163510100269,0.08832399818121335,0.10458822948307372,0.030592582968491943,0.02682156950897147,0.03468141344557166,0.01196593033880902,0.009733108669860076,0.014440496560810413
1991,"Women","United Kingdom","GBR",0.026007703895133193,0.0223804702380283,0.029885980645603872,0.14530974157973703,0.13660427405008996,0.15425670506392009,0.06038535292121301,0.05538148848921278,0.0657047104155226,0.4812111614559087,0.46872045381943683,0.4934597376100102,0.28708603814800804,0.275317604927583,0.29889832611453415,0.1003324345268453,0.09252550338248236,0.10827583418635461,0.032300696650368124,0.028634072713102702,0.03627529834621725,0.012676610402523608,0.010490916303166155,0.015133038183040237
1992,"Women","United Kingdom","GBR",0.024808822051496978,0.021513417138177924,0.02832881695026499,0.15174874008413045,0.14329966174390718,0.16038187719552238,0.058431513819314204,0.05372686605773218,0.06329266511895665,0.47305603154999004,0.46124423722449637,0.48448066119871525,0.29195489049506834,0.2808087180910035,0.3031127603823423,0.10426299734439315,0.09674219176309354,0.11186441024486776,0.03405515478823922,0.03040526303865188,0.03794992438433443,0.01343058795149807,0.01121846783524967,0.01591846380470279
1993,"Women","United Kingdom","GBR",0.023702366290395852,0.020771779810435275,0.026822577837132665,0.15832695445080974,0.15014378898149414,0.16671599813195548,0.05659325784531231,0.05232857507529778,0.06111683459430355,0.4647504373958883,0.45345086525431755,0.4758062551038765,0.2966269820175938,0.2861828373757546,0.30714468964571523,0.10823994081565078,0.10099880912978526,0.11565823243494985,0.03585355866520356,0.03234838804604381,0.03970251839560225,0.014233454969955418,0.012015878532042673,0.016698789716359696
1994,"Women","United Kingdom","GBR",0.022699035508618636,0.020003864209534424,0.025577755022100145,0.16504194898123756,0.15694467237253404,0.173255381115513,0.05488464755499873,0.050940945043741914,0.05904516683556541,0.456364074835372,0.445659591280132,0.46698702444193485,0.3010102911197731,0.29123277572529505,0.3109808750566166,0.11223952696809844,0.10508746735751462,0.11946455388953839,0.037711699049579515,0.03420675577250472,0.041413090004493155,0.015090722963559648,0.012875622149970192,0.01752066879579334
1995,"Women","United Kingdom","GBR",0.02179772144785245,0.019319523307380012,0.024523063101103682,0.17187149521436507,0.1640255538978926,0.1799492364685892,0.05330114787853823,0.0496467111320589,0.05729142151662791,0.4479946751596475,0.43763445248792343,0.4582377140843296,0.3050349582995968,0.29554656900686666,0.3147016866558177,0.1162307613270875,0.10917808428553771,0.1232732368262615,0.03962936463836563,0.03605778366277512,0.04341545915504887,0.016011369248911948,0.013771858079747824,0.01849780357675863
1996,"Women","United Kingdom","GBR",0.02099247373524593,0.018590860311717416,0.02359084614184078,0.17879411700953263,0.17118067278875254,0.1867589009214664,0.05182540497948715,0.04822680460879997,0.05563010883446336,0.4397343149698394,0.4296737737207624,0.44970359845653785,0.3086536873058948,0.29952380908863024,0.3180879520831584,0.12018099949321151,0.11315730998468956,0.12717369246254578,0.041607261948996645,0.037999667755905166,0.04547765808268512,0.017005855567324465,0.014667871576402978,0.019532139528320492
1997,"Women","United Kingdom","GBR",0.02028507003823101,0.017980390640167442,0.022812708343958255,0.1857685149633156,0.17828955724018578,0.1937133934324251,0.0504536355379802,0.0470293478068698,0.05415714830868998,0.4316755539124697,0.4218111890529039,0.44156197098201744,0.31181722354800345,0.30282173724443395,0.3210966296043855,0.12406822418218898,0.11709080007623199,0.1309775436579738,0.04362993714825797,0.03996372385273369,0.04752942788308843,0.018070353632868658,0.015634668733495886,0.02058218139432187
1998,"Women","United Kingdom","GBR",0.019674091902288037,0.01746770113828301,0.022024314061998625,0.19270816362736087,0.18501466655491602,0.2006076782938964,0.04920522371697731,0.045794762112765675,0.052689085391944106,0.42395159955995543,0.41424725804812296,0.43376609004420513,0.31446091919341834,0.30539210941240164,0.32365044762263667,0.12784015336615545,0.12087991083168252,0.13487411532092317,0.045675632547547425,0.04189392681782491,0.04962771569549886,0.019192377713657997,0.016694277109180103,0.02173951479814864
1999,"Women","United Kingdom","GBR",0.019163986182590163,0.017000578803404335,0.02145087270913231,0.19954338217296916,0.1918273549389066,0.20748033142967182,0.04807928785050531,0.04471740430471189,0.051419648084443895,0.41662723610917374,0.4070308782139502,0.42628836609226733,0.3165861056847617,0.3075838298039618,0.3256889236111733,0.13146327720612705,0.1245017368151504,0.13853779594960997,0.04770839849166623,0.0437947225891719,0.05174681195055165,0.020371706475175833,0.017789272510497386,0.02305484090334117
