Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence,CPI_U,SP500_Total_Return,Inflation_Rate,Real_Return,Excess_Return_vs_Market,obesity_pct,obesity_yoy_pp,Cum_Nominal,Cum_Real,Cum_SP500
1995,0.215342541091772,14,4875.834783647921,0.2332745390500983,152.4,0.3758,0.028340080971660075,0.18184884901443943,-0.16045745890822802,23.32745390500983,0.8925138768437577,1526.5870806928185,718.8981568661849,1052.0638870867078
1996,0.14143677681494,15,5565.457139729253,0.2424386222527013,156.9,0.2296,0.029527559055118058,0.10869958436326876,-0.08816322318506001,24.243862225270128,0.9164083202602988,1742.5026369133398,797.0420877170592,1293.617755561816
1997,0.2663317024002669,16,7047.714814389065,0.2518396205735297,160.5,0.3336,0.02294455066921608,0.23792800066418618,-0.06726829759973313,25.18396205735297,0.9400998320828435,2206.586330639424,986.6807180927881,1725.1686388172382
1998,0.3457504050140292,17,9484.465065887458,0.261361002146339,163.0,0.2858,0.015576323987538832,0.3251100613788449,0.05995040501402921,26.1361002146339,0.9521381572809275,2969.5144481564253,1307.460546913257,2218.2218357912047
1999,-0.135411362623113,17,8200.160727564324,0.2710024331664428,166.6,0.2104,0.02208588957055202,-0.15409395022549466,-0.345811362623113,27.100243316644278,0.9641431020103788,2567.4084504025423,1105.9887864754076,2684.935710041674
2000,0.1824750493490869,17,9696.485460997068,0.2807483092400819,172.2,-0.091,0.03361344537815114,0.14402057619952324,0.2734750493490869,28.074830924008186,0.9745876073639081,3035.896434089009,1265.2739287738075,2440.606560427882
2001,0.2215935545776677,18,11845.164141210083,0.2905084696662589,177.1,-0.1189,0.028455284552845628,0.18779452342334468,0.3404935545776677,29.050846966625887,0.9760160426177009,3708.631516248459,1502.8854432278674,2150.4184403930067
2002,0.2190880677774712,18,14440.29826541479,0.3001657701655985,179.9,-0.221,0.015810276679842028,0.20011393442684877,0.4400880677774712,30.016577016559847,0.9657300499339598,4521.148429241967,1803.6337622650344,1675.1759650661522
2003,0.5624182129450804,19,22561.78501024332,0.3096466874642211,184.0,0.2868,0.022790439132851503,0.5276034592870651,0.27561821294508043,30.96466874642211,0.9480917298622629,7063.924649275691,2755.2371745230103,2155.6164318471247
2004,0.3591006690725267,19,30663.737102892203,0.3188971131262343,188.9,0.1088,0.026630434782608736,0.32384607257461573,0.2503006690725267,31.88971131262343,0.92504256620132,9600.584717108504,3647.5099125038682,2390.1474996320917
2005,0.2146908297099774,21,37246.96026352075,0.3278443226356206,195.3,0.0491,0.03388035997882488,0.1748852930476943,0.1655908297099774,32.78443226356206,0.8947209509386305,11661.742215725459,4285.405752446477,2507.5037418640272
2006,0.0917327439965332,21,40663.72613402335,0.3364000028452877,201.6,0.1579,0.032258064516129004,0.057616095746641616,-0.06616725600346682,33.64000028452877,0.8555680209667074,12731.505828954167,4532.314100592643,2903.438582704357
2007,-0.0072329151164102,22,40369.608854579004,0.3445064138476905,207.342,0.0549,0.0284821428571429,-0.0347259874384751,-0.0621329151164102,34.45064138476905,0.8106411002402822,12639.419927989258,4374.925018068238,3062.8373608948264
2008,-0.3851297085617475,22,24822.073161663247,0.3520928667621399,215.303,-0.37,0.03839550115268486,-0.4078650275779244,-0.015129708561747501,35.20928667621399,0.7586452914449424,7771.603814733211,2590.546104922485,1929.5875373637405
2009,0.425285619533836,22,35378.543924335405,0.359016926200414,214.537,0.2646,-0.003557776714676497,0.4303745728825026,0.16068561953383598,35.901692620041395,0.6924059438274028,11076.755157853548,3705.4512783609302,2440.156399750186
2010,0.3956293735906895,22,49375.33509567092,0.36524832866229,218.056,0.1506,0.016402765024214894,0.3731066282148887,0.2450293735906895,36.524832866229,0.623140246187603,15459.044862372584,5087.9797108447265,2807.643953552564
2011,0.2562604603054673,22,62028.28119502424,0.370825860880715,224.939,0.0211,0.0315652859815827,0.21781963524497283,0.23516046030546728,37.0825860880715,0.5577532218425034,19420.586814687053,6196.241595594747,2866.8852409725228
2012,0.1900495461120058,22,73816.72788224647,0.3758518992008609,229.594,0.16,0.020694499397614363,0.1659213866777376,0.030049546112005804,37.58518992008609,0.5026038320145858,23111.460524047132,7224.330593326105,3325.5868795281267
2013,0.5301351504212819,23,112949.57002170804,0.3805617700335033,232.957,0.3239,0.014647595320435247,0.5080459042905934,0.20623515042128188,38.05617700335033,0.4709870832642409,35363.65812541838,10894.622162506666,4402.744469807287
2014,0.2683899066713175,24,143264.0945783997,0.3850366182901559,236.736,0.1369,0.016221877857286904,0.2481426884311222,0.13148990667131752,38.50366182901559,0.4474848256652635,44854.907029255795,13598.042995352356,5005.480187723904
2015,-0.0454412760190719,26,136753.9913130402,0.3893012165687642,237.017,0.0138,0.0011869762097864722,-0.04657297122000115,-0.0592412760190719,38.93012165687642,0.4264598278608318,42816.64281812958,12964.741730281472,5074.5558143144945
2016,0.0876729319922297,29,148743.61469309437,0.393373810010163,240.007,0.1196,0.012615128872612624,0.07412273526189761,-0.0319270680077703,39.337381001016304,0.40725934413988085,46570.503432059035,13925.723849294001,5681.4726897065075
2017,0.0371761565460327,29,154273.33059814762,0.3971484937313427,245.12,0.2183,0.02130354531326173,0.015541521720559892,-0.1811238434539673,39.71484937313427,0.377468372117967,48301.81575807682,14142.150788972325,6921.738177869439
2018,0.0462579071492399,29,161409.69200056072,0.4005565425082266,251.107,-0.0438,0.02442477154046996,0.02131258069437214,0.09005790714923989,40.055654250822656,0.3408048776883845,50536.15666655362,14443.556518854277,6618.566045678757
2019,0.1758110805199787,29,189787.30435757624,0.4036517972790628,255.657,0.3149,0.01811976567757978,0.1548848378731278,-0.1390889194800213,40.36517972790628,0.3095254770836249,59420.97297542734,16680.64442858838,8702.752493462998
2020,0.0931971686543893,30,207474.9437702512,0.4065287827327448,258.811,0.184,0.012336841940568721,0.07987492242089878,-0.0908028313456107,40.65287827327448,0.28769854536820105,64958.839415426155,18013.009608252476,10304.05895226019
2021,0.2588111851979736,30,261171.7798663128,0.4092877214833472,270.97,0.2871,0.04698022881562247,0.20232565100296207,-0.02828881480202644,40.928772148334716,0.275893875060234,81770.91363361743,21657.503503764765,13262.354277454091
2022,-0.1811027819369407,35,213872.8439691013,0.4119436731285147,292.655,-0.1811,0.08002730929623181,-0.24178100774445266,-2.781936940698948e-06,41.19436731285147,0.26559516451675336,66961.973693044,16421.130481395507,10860.541917807153
2023,0.248153033394686,35,266946.0389607821,0.4146073124127751,304.702,0.2629,0.04116451111376884,0.19880481909577807,-0.014746966605314021,41.46073124127751,0.2663639284260384,83578.79058706804,19685.73035609751,13715.778387998656
2024,0.1318605677706781,37,302145.6952222844,0.417277187801097,313.689,0.2502,0.029494391241278395,0.09943344752561023,-0.11833943222932189,41.727718780109704,0.26698753883219695,94599.53736746543,21643.150392463842,17147.46614067592
